age,industry,title,annual_salary,bonus_salary,currency,country,state,city,overall_experience,field_experience,education,gender,fixed_country,exchange_rate,annual_salary_usd,bonus_salary_usd,total_salary_usd
25-34,Nonprofits,Training Director,81000.0,0.0,USD,US,California,Oakland,8 - 10 years,2 - 4 years,Master's degree,Woman,united states,1.0,81000.0,0.0,81000.0
18-24,Education (Higher Education),Resident's Assistant,11100.0,0.0,USD,USA,New York,Buffalo,2 - 4 years,2 - 4 years,College degree,Man,united states,1.0,11100.0,0.0,0.0
35-44,Computing or Tech,Staff Engineer,175000.0,17500.0,USD,USA,Massachusetts,Boston,21 - 30 years,21 - 30 years,Some college,Man,united states,1.0,175000.0,17500.0,192500.0
35-44,Computing or Tech,Director,180000.0,10000.0,USD,USA,Virginia,Manassas,11 - 20 years,11 - 20 years,College degree,Man,united states,1.0,180000.0,10000.0,190000.0
35-44,Government and Public Administration,Manager,118000.0,0.0,USD,United States,Texas,San Antonio ,11 - 20 years,11 - 20 years,College degree,Man,united states,1.0,118000.0,0.0,0.0
35-44,Recruitment or HR,Recruiting Administration ,55000.0,2200.0,USD,USA,Colorado,Lakewood,5-7 years,5-7 years,College degree,Woman,united states,1.0,55000.0,2200.0,57200.0
35-44,Media & Digital,Director,132000.0,0.0,USD,U.S.,California,Los Angeles,11 - 20 years,11 - 20 years,College degree,Woman,united states,1.0,132000.0,0.0,132000.0
25-34,Retail,Boutique assistant ,42000.0,6000.0,USD,United states,New York,New york,8 - 10 years,8 - 10 years,Some college,Woman,united states,1.0,42000.0,6000.0,48000.0
35-44,Education (Primary/Secondary),Teacher,87000.0,0.0,CAD,Canada,,Winnipeg,11 - 20 years,8 - 10 years,Master's degree,Woman,canada,0.750496,65293.152,0.0,65293.152
25-34,Computing or Tech,Site Reliability Engineer,134000.0,0.0,USD,United States,New York,New York,5-7 years,5-7 years,College degree,Man,united states,1.0,134000.0,0.0,0.0
25-34,Engineering or Manufacturing,Blending Engineer ,109000.0,10000.0,CAD,Canada ,,Regina,8 - 10 years,8 - 10 years,College degree,Woman,canada,0.750496,81804.064,7504.960000000001,89309.024
35-44,Insurance,Compliance Manager,97000.0,9700.0,USD,US,Wisconsin,Madison,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,united states,1.0,97000.0,9700.0,106700.0
18-24,Transport or Logistics,Logistics Coordinator,49920.0,3840.0,USD,USA,Illinois,Chicago,2 - 4 years,1 year or less,College degree,Woman,united states,1.0,49920.0,3840.0,53760.0
25-34,"Accounting, Banking & Finance",Audit Lead,92000.0,9000.0,USD,United States,Georgia,Atlanta,2 - 4 years,2 - 4 years,Master's degree,Woman,united states,1.0,92000.0,9000.0,101000.0
55-64,Health care,Office manager ,52000.0,0.0,USD,United states,Illinois,Chicago ,31 - 40 years,21 - 30 years,College degree,Woman,united states,1.0,52000.0,0.0,52000.0
25-34,Health care,Registered Nurse,64000.0,1000.0,USD,United States,Maryland,Baltimore,11 - 20 years,5-7 years,College degree,Woman,united states,1.0,64000.0,1000.0,65000.0
35-44,Computing or Tech,Software Engineer,168000.0,150000.0,USD,United States,Massachusetts,Cambridge,8 - 10 years,2 - 4 years,PhD,Man,united states,1.0,168000.0,150000.0,318000.0
35-44,Education (Higher Education),Executive Director ,97000.0,0.0,USD,US,Oregon,Portland ,11 - 20 years,11 - 20 years,PhD,Woman,united states,1.0,97000.0,0.0,0.0
35-44,Education (Primary/Secondary),Teacher,117000.0,10000.0,USD,United States,Washington,Tacoma,11 - 20 years,11 - 20 years,Master's degree,Woman,united states,1.0,117000.0,10000.0,127000.0
25-34,Health care,Data Scientist,105000.0,3000.0,USD,United States,North Carolina,Morrisville,5-7 years,5-7 years,Master's degree,Woman,united states,1.0,105000.0,3000.0,108000.0
35-44,Engineering or Manufacturing,Senior Principal Engineer,160000.0,8000.0,USD,USA,California,Santa Clara,11 - 20 years,11 - 20 years,College degree,Woman,united states,1.0,160000.0,8000.0,168000.0
25-34,Property or Construction,Human Resources Generalist,91500.0,0.0,USD,USA,California,"Riverside, CA",11 - 20 years,5-7 years,College degree,Woman,united states,1.0,91500.0,0.0,0.0
25-34,"Marketing, Advertising & PR",Account Specialist,67000.0,2000.0,CAD,Canada,,Toronto,5-7 years,2 - 4 years,College degree,Woman,canada,0.750496,50283.232,1500.9920000000002,51784.224
35-44,Business or Consulting,Director of Technology,116000.0,0.0,USD,United States,Michigan,Kalamazoo,21 - 30 years,21 - 30 years,Some college,Man,united states,1.0,116000.0,0.0,116000.0
18-24,Art & Design,Junior Interior Designer,54000.0,0.0,USD,United States,Kentucky,New York City,5-7 years,2 - 4 years,College degree,Woman,united states,1.0,54000.0,0.0,54000.0
45-54,Real Estate,Human Resources Manager ,77000.0,6000.0,USD,USA,Arkansas,Little Rock ,21 - 30 years,11 - 20 years,Master's degree,Woman,united states,1.0,77000.0,6000.0,83000.0
18-24,Engineering or Manufacturing,Assistant Project Manager,67000.0,0.0,AUD,Australia,,Melbourne,2 - 4 years,2 - 4 years,Master's degree,Woman,australia,0.671307,44977.568999999996,0.0,44977.568999999996
25-34,Health care,Pharmacy Technician ,43680.0,0.0,USD,United States,California,San Diego,1 year or less,1 year or less,Some college,Woman,united states,1.0,43680.0,0.0,0.0
25-34,Education (Higher Education),Assistant Professor of Biology,52000.0,0.0,USD,USA,Indiana,Indianapolis,5-7 years,5-7 years,PhD,Woman,united states,1.0,52000.0,0.0,52000.0
25-34,Law,Patent Assistant,44000.0,0.0,AUD,New Zealand,,Wellington,2 - 4 years,2 - 4 years,College degree,Woman,new zealand,0.671307,29537.507999999998,0.0,0.0
35-44,Computing or Tech,Analytics Manager,120000.0,20000.0,USD,US,Illinois,Chicago,11 - 20 years,5-7 years,College degree,Woman,united states,1.0,120000.0,20000.0,140000.0
25-34,Law,Associate,130000.0,4500.0,CAD,Canada,,Toronto,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,canada,0.750496,97564.48000000001,3377.2320000000004,100941.71200000001
35-44,Engineering or Manufacturing,Aerospace Design Engineer,77000.0,0.0,USD,United States,California,Camarillo ,11 - 20 years,2 - 4 years,College degree,Man,united states,1.0,77000.0,0.0,77000.0
25-34,Computing or Tech,Technical Writer,72.0,0.0,USD,United States,Washington,Silverdale,8 - 10 years,2 - 4 years,College degree,Woman,united states,1.0,72.0,0.0,72.0
35-44,"Accounting, Banking & Finance",Employee Engagement Manager,100500.0,13000.0,USD,United States,Massachusetts,Boston,11 - 20 years,5-7 years,Master's degree,Woman,united states,1.0,100500.0,13000.0,113500.0
18-24,Consumer Product Goods,Supply Planner,75000.0,0.0,USD,United States of America ,New Jersey,New Jersey,2 - 4 years,2 - 4 years,College degree,Woman,united states,1.0,75000.0,0.0,0.0
35-44,Computing or Tech,Research manager,170000.0,80000.0,USD,USA,New York,NYC,5-7 years,5-7 years,PhD,Woman,united states,1.0,170000.0,80000.0,250000.0
18-24,Education (Primary/Secondary),Teacher,27040.0,300.0,USD,USA,Utah,Vernal,5-7 years,1 year or less,College degree,Woman,united states,1.0,27040.0,300.0,27340.0
35-44,Law,Legal assistant ,45000.0,0.0,USD,USA ,New York,New York ,11 - 20 years,1 year or less,College degree,Woman,united states,1.0,45000.0,0.0,0.0
25-34,Computing or Tech,Senior Design Architect ,170000.0,120000.0,USD,USA ,New York,Nyc,5-7 years,5-7 years,Master's degree,Man,united states,1.0,170000.0,120000.0,290000.0
45-54,Law,Legal assistant,78000.0,19000.0,USD,USA,Wisconsin,Madison,31 - 40 years,31 - 40 years,Some college,Woman,united states,1.0,78000.0,19000.0,97000.0
25-34,Computing or Tech,Senior Technical Writer,124000.0,2500.0,CAD,Canada,,Vancouver,8 - 10 years,5-7 years,College degree,Woman,canada,0.750496,93061.504,1876.2400000000002,94937.744
25-34,Computing or Tech,Recruiting operations specialist ,90000.0,20000.0,USD,USA ,New York,New York ,5-7 years,2 - 4 years,College degree,Woman,united states,1.0,90000.0,20000.0,110000.0
25-34,"Marketing, Advertising & PR",Associate Director of Marketing,113000.0,16000.0,USD,United States,Texas,Austin,8 - 10 years,5-7 years,Master's degree,Woman,united states,1.0,113000.0,16000.0,129000.0
35-44,Nonprofits,Social Media Manager,82000.0,0.0,USD,USA,District of Columbia,Washington,11 - 20 years,11 - 20 years,Master's degree,Woman,united states,1.0,82000.0,0.0,0.0
35-44,Recruitment or HR,Compensation analyst,69000.0,0.0,USD,US,Virginia,Richmond,5-7 years,2 - 4 years,College degree,Woman,united states,1.0,69000.0,0.0,0.0
18-24,Hospitality & Events,Deli Counter Staff,35360.0,0.0,USD,United States,Vermont,Montpelier,1 year or less,1 year or less,Some college,Man,united states,1.0,35360.0,0.0,0.0
25-34,Computing or Tech,Systems Development Engineer,151300.0,40000.0,USD,United States,Virginia,Herndon,8 - 10 years,8 - 10 years,College degree,Man,united states,1.0,151300.0,40000.0,191300.0
25-34,Entertainment,Junior Production Accountant ,63000.0,0.0,USD,United States,California,Los Angeles ,2 - 4 years,2 - 4 years,College degree,Woman,united states,1.0,63000.0,0.0,0.0
35-44,Computing or Tech,Product designer,145610.0,30000.0,USD,USA,Texas,Austin,11 - 20 years,8 - 10 years,Master's degree,Woman,united states,1.0,145610.0,30000.0,175610.0
45-54,"Marketing, Advertising & PR",brand manager,60000.0,0.0,USD,usa ,Arizona,tucson,21 - 30 years,11 - 20 years,College degree,Woman,united states,1.0,60000.0,0.0,60000.0
25-34,Government and Public Administration,Senior Information Officer,90300.0,5000.0,USD,USA,District of Columbia,Washington,11 - 20 years,5-7 years,Master's degree,Woman,united states,1.0,90300.0,5000.0,95300.0
25-34,Nonprofits,Outreach Coordinator,44000.0,0.0,USD,US,Oregon,Portland,8 - 10 years,8 - 10 years,PhD,Woman,united states,1.0,44000.0,0.0,44000.0
25-34,Health care,Data Scientist,97800.0,7800.0,USD,United States,Pennsylvania,Philadelphia,2 - 4 years,2 - 4 years,College degree,Woman,united states,1.0,97800.0,7800.0,105600.0
35-44,Business or Consulting,Project manager,91000.0,7000.0,USD,United States,Massachusetts,Field employee,11 - 20 years,5-7 years,Master's degree,Woman,united states,1.0,91000.0,7000.0,98000.0
25-34,"Marketing, Advertising & PR",Vice President,105000.0,0.0,USD,United States,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree,Woman,united states,1.0,105000.0,0.0,0.0
35-44,Computing or Tech,Engineering Manager,165000.0,0.0,CAD,Canada,,Toronto,11 - 20 years,8 - 10 years,College degree,Man,canada,0.750496,123831.84000000001,0.0,0.0
25-34,Computing or Tech,Principal Computational Linguist,135000.0,0.0,USD,United States,Virginia,Arlington,8 - 10 years,8 - 10 years,PhD,Man,united states,1.0,135000.0,0.0,0.0
35-44,Computing or Tech,Software Engineering Manager,159000.0,15000.0,USD,USA,Pennsylvania,Remote,11 - 20 years,11 - 20 years,College degree,Man,united states,1.0,159000.0,15000.0,174000.0
25-34,Biotech,Business Development Manager,125000.0,15000.0,USD,United States,Arizona,Tucson,5-7 years,2 - 4 years,PhD,Woman,united states,1.0,125000.0,15000.0,140000.0
35-44,Nonprofits,Researcher,132000.0,800.0,USD,USA,California,San Francisco,11 - 20 years,11 - 20 years,PhD,Woman,united states,1.0,132000.0,800.0,132800.0
45-54,Media & Digital,Executive Producer ,82000.0,0.0,USD,U.S. ,Texas,Austin,21 - 30 years,11 - 20 years,College degree,Woman,united states,1.0,82000.0,0.0,0.0
35-44,Recruitment or HR,Human Resources Manager,71944.0,0.0,USD,USA,Hawaii,Laie,8 - 10 years,8 - 10 years,Master's degree,Woman,united states,1.0,71944.0,0.0,71944.0
55-64,Social Work,Administrative Social Work Supervisor ,70000.0,0.0,USD,USA,New York,Bronx,21 - 30 years,5-7 years,Master's degree,Woman,united states,1.0,70000.0,0.0,70000.0
35-44,Computing or Tech,Quality Assurance Analyst ,65000.0,0.0,USD,USA,Colorado,Broomfield,11 - 20 years,2 - 4 years,College degree,Woman,united states,1.0,65000.0,0.0,65000.0
45-54,Computing or Tech,Senior Software Engineer,174000.0,130000.0,USD,USA,Massachusetts,Cambridge,21 - 30 years,21 - 30 years,College degree,Man,united states,1.0,174000.0,130000.0,304000.0
35-44,"Accounting, Banking & Finance",Customer Service Agent,36000.0,0.0,USD,USA,Florida,Tampa,8 - 10 years,5-7 years,College degree,Woman,united states,1.0,36000.0,0.0,36000.0
35-44,Computing or Tech,System Architect,118000.0,5000.0,USD,United States,Washington,Tacoma,21 - 30 years,11 - 20 years,Some college,Man,united states,1.0,118000.0,5000.0,123000.0
25-34,Computing or Tech,Security engineer ii,90000.0,6000.0,USD,United States,Michigan,Grand rapids,11 - 20 years,5-7 years,College degree,Man,united states,1.0,90000.0,6000.0,96000.0
25-34,Nonprofits,Finance Director,58000.0,3000.0,USD,United States,Massachusetts,Arlington,11 - 20 years,2 - 4 years,College degree,Woman,united states,1.0,58000.0,3000.0,61000.0
25-34,Government and Public Administration,Foreign affairs officer,122000.0,0.0,USD,United States,District of Columbia,Washington ,5-7 years,5-7 years,PhD,Woman,united states,1.0,122000.0,0.0,0.0
35-44,Computing or Tech,Sr. DevOps Engineer,110800.0,0.0,USD,United States,Tennessee,Oak Ridge,11 - 20 years,11 - 20 years,College degree,Man,united states,1.0,110800.0,0.0,110800.0
35-44,Nonprofits,Manager,60000.0,10000.0,USD,USA,District of Columbia,"Washington, DC",8 - 10 years,5-7 years,Master's degree,Woman,united states,1.0,60000.0,10000.0,70000.0
18-24,Computing or Tech,Associate DevOps Engineer,86700.0,8670.0,USD,United States,Oregon,Portland,2 - 4 years,2 - 4 years,College degree,Woman,united states,1.0,86700.0,8670.0,95370.0
25-34,Computing or Tech,Software Development Engineer ,157000.0,60000.0,USD,USA,Utah,Orem,11 - 20 years,11 - 20 years,Master's degree,Man,united states,1.0,157000.0,60000.0,217000.0
25-34,Computing or Tech,Diversity Senior Program Manager,160000.0,32000.0,USD,United States,California,San Francisco Bay Area,11 - 20 years,5-7 years,College degree,Woman,united states,1.0,160000.0,32000.0,192000.0
35-44,Nonprofits,Education Program Manager,53560.0,0.0,USD,United States,California,Vallejo,8 - 10 years,2 - 4 years,College degree,Woman,united states,1.0,53560.0,0.0,0.0
35-44,Computing or Tech,Product Manager,200000.0,15000.0,USD,United States,Oregon,Portland,11 - 20 years,11 - 20 years,College degree,Man,united states,1.0,200000.0,15000.0,215000.0
35-44,Law,Associate,200000.0,0.0,USD,United States,Connecticut,Stamford,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,united states,1.0,200000.0,0.0,0.0
35-44,Computing or Tech,Analytical Linguist,145000.0,0.0,USD,USA,California,San Francisco,5-7 years,5-7 years,PhD,Man,united states,1.0,145000.0,0.0,145000.0
45-54,Nonprofits,Donor Development and Membership Marketing Manager,68000.0,0.0,USD,U.S,Maryland,Upper Marlboro,21 - 30 years,21 - 30 years,Master's degree,Man,united states,1.0,68000.0,0.0,68000.0
35-44,Computing or Tech,Principal Consultant,185000.0,26.0,AUD,Australia,,Sydney,21 - 30 years,21 - 30 years,College degree,Man,australia,0.671307,124191.795,17.453982,124209.248982
25-34,Computing or Tech,Customer Success Manager,120000.0,20000.0,USD,US,North Carolina,Raleigh ,5-7 years,2 - 4 years,College degree,Woman,united states,1.0,120000.0,20000.0,140000.0
25-34,"Marketing, Advertising & PR",Senior Marketing Coordinator,75000.0,3000.0,USD,United States,Illinois,Chicago,8 - 10 years,5-7 years,Master's degree,Woman,united states,1.0,75000.0,3000.0,78000.0
25-34,Engineering or Manufacturing,Receptionist,55000.0,0.0,AUD,Australia,,Richmond VIC,2 - 4 years,2 - 4 years,High School,Woman,australia,0.671307,36921.885,0.0,36921.885
35-44,Engineering or Manufacturing,Vice President ,115000.0,50000.0,USD,United states,Florida,Orlando,11 - 20 years,11 - 20 years,Master's degree,Woman,united states,1.0,115000.0,50000.0,165000.0
25-34,Insurance,Business Analyst,66000.0,3000.0,USD,United States,Indiana,Fort Wayne,8 - 10 years,8 - 10 years,Master's degree,Woman,united states,1.0,66000.0,3000.0,69000.0
25-34,Health care,Director ,85000.0,20000.0,USD,United States,California,Oakland,5-7 years,8 - 10 years,Some college,Man,united states,1.0,85000.0,20000.0,105000.0
35-44,Nonprofits,Programs Manager,80000.0,0.0,USD,US,District of Columbia,Washington,11 - 20 years,8 - 10 years,College degree,Woman,united states,1.0,80000.0,0.0,80000.0
25-34,Health care,Experience Manager,52000.0,3000.0,USD,United States,Michigan,Troy,5-7 years,5-7 years,Master's degree,Man,united states,1.0,52000.0,3000.0,55000.0
35-44,Publishing,Online Editor,9000.0,0.0,USD,US,Michigan,Ann Arbor,11 - 20 years,8 - 10 years,Master's degree,Woman,united states,1.0,9000.0,0.0,9000.0
25-34,Business or Consulting,Senior Consultant,108000.0,5000.0,USD,America,California,San Francisco,2 - 4 years,2 - 4 years,College degree,Man,united states,1.0,108000.0,5000.0,113000.0
25-34,Computing or Tech,"Director, Mobile Engagement",130000.0,26000.0,USD,United States,Illinois,Chicago,11 - 20 years,5-7 years,College degree,Woman,united states,1.0,130000.0,26000.0,156000.0
18-24,Computing or Tech,Software Engineer,160000.0,225000.0,USD,USA,California,San Francisco,2 - 4 years,2 - 4 years,College degree,Woman,united states,1.0,160000.0,225000.0,385000.0
25-34,Computing or Tech,Senior site reliability engineer,155000.0,0.0,USD,Us,Massachusetts,Boston,8 - 10 years,5-7 years,College degree,Woman,united states,1.0,155000.0,0.0,155000.0
35-44,Computing or Tech,Software Developer III,118500.0,6000.0,USD,United States,Ohio,Cleveland,21 - 30 years,21 - 30 years,College degree,Man,united states,1.0,118500.0,6000.0,124500.0
25-34,Clinical Research,Clinical Trial Manager,126000.0,22000.0,USD,US,Texas,Houston,8 - 10 years,5-7 years,Master's degree,Woman,united states,1.0,126000.0,22000.0,148000.0
25-34,Nonprofits,"Director, Public Policy and Advocacy",89000.0,0.0,USD,United States,Virginia,Alexandria,11 - 20 years,8 - 10 years,College degree,Woman,united states,1.0,89000.0,0.0,89000.0
45-54,"Marketing, Advertising & PR",customer service rep,50000.0,0.0,USD,USA,Minnesota,Minneapolis,21 - 30 years,21 - 30 years,College degree,Woman,united states,1.0,50000.0,0.0,0.0
45-54,Health care,Practice Manager,72000.0,5000.0,USD,US,Colorado,Denver,21 - 30 years,21 - 30 years,Some college,Woman,united states,1.0,72000.0,5000.0,77000.0
25-34,Science/Biotech ,Head of Production,65000.0,0.0,AUD,Australia ,,Adelaide,8 - 10 years,8 - 10 years,College degree,Woman,australia,0.671307,43634.955,0.0,43634.955
25-34,"Marketing, Advertising & PR",Sr Manager,105000.0,15000.0,USD,Usa,Illinois,Chicago,5-7 years,5-7 years,College degree,Woman,united states,1.0,105000.0,15000.0,120000.0
18-24,Media & Digital,Social Media Strategist,55000.0,0.0,USD,United States of America,Pennsylvania,Philadelphia,2 - 4 years,2 - 4 years,College degree,Woman,united states,1.0,55000.0,0.0,0.0
35-44,"Accounting, Banking & Finance",Compliance Analyst ,55000.0,5500.0,USD,United States ,Arizona,Chandler,11 - 20 years,2 - 4 years,College degree,Woman,united states,1.0,55000.0,5500.0,60500.0
35-44,Law,Assistant,33280.0,1000.0,USD,U.S.,Mississippi,Laurel,11 - 20 years,1 year or less,College degree,Woman,united states,1.0,33280.0,1000.0,34280.0
35-44,Art & Design,Senior Designer,103000.0,0.0,USD,United States,New York,New York,21 - 30 years,11 - 20 years,College degree,Woman,united states,1.0,103000.0,0.0,0.0
35-44,Media & Digital,Content producer,120000.0,0.0,AUD,Australia,,Adelaide,21 - 30 years,5-7 years,College degree,Woman,australia,0.671307,80556.84,0.0,80556.84
25-34,Nonprofits,manager of education services,44000.0,600.0,CAD,canada,,lethbridge,2 - 4 years,8 - 10 years,Master's degree,Woman,canada,0.750496,33021.824,450.29760000000005,33472.121600000006
35-44,Computing or Tech,Senior IT analyst ,102000.0,4000.0,CAD,Canada,,Edmonton ,11 - 20 years,8 - 10 years,Some college,Woman,canada,0.750496,76550.592,3001.9840000000004,79552.576
45-54,Property or Construction,Scholarships Director,125000.0,12500.0,USD,USA,California,San Diego,21 - 30 years,8 - 10 years,Master's degree,Woman,united states,1.0,125000.0,12500.0,137500.0
25-34,Computing or Tech,Software Developer,82000.0,0.0,USD,United States,Utah,Provo,5-7 years,5-7 years,College degree,Man,united states,1.0,82000.0,0.0,82000.0
25-34,Engineering or Manufacturing,QC,5265.0,0.0,USD,Malaysia ,,Malaysia ,2 - 4 years,1 year or less,College degree,Woman,malaysia,1.0,5265.0,0.0,0.0
35-44,Nonprofits,Senior Research Advisor,131000.0,12000.0,USD,USA,District of Columbia,Washington,11 - 20 years,11 - 20 years,College degree,Man,united states,1.0,131000.0,12000.0,143000.0
18-24,Law,Legal Assistant ,41000.0,500.0,USD,United States,District of Columbia,DC,2 - 4 years,1 year or less,College degree,Woman,united states,1.0,41000.0,500.0,41500.0
25-34,Retail,Sr. Financial Analyst,100000.0,8000.0,USD,United States,California,"Dublin, CA",2 - 4 years,1 year or less,College degree,Woman,united states,1.0,100000.0,8000.0,108000.0
18-24,Health care,Patient Representative,35360.0,3000.0,USD,USA,Iowa,Des Moines,5-7 years,2 - 4 years,College degree,Woman,united states,1.0,35360.0,3000.0,38360.0
35-44,"Accounting, Banking & Finance",Senior Communications Manager,115000.0,0.0,CAD,Canada,,Toronto,11 - 20 years,11 - 20 years,Master's degree,Woman,canada,0.750496,86307.04000000001,0.0,0.0
25-34,Computing or Tech,Operations Strategy Analyst,55240.0,3000.0,USD,United States,Illinois,Chicago,5-7 years,5-7 years,College degree,Woman,united states,1.0,55240.0,3000.0,58240.0
35-44,Nonprofits,Librarian,57000.0,0.0,USD,US,District of Columbia,DC,11 - 20 years,8 - 10 years,Master's degree,Woman,united states,1.0,57000.0,0.0,57000.0
35-44,Health care,Nurse Supervisor ,110000.0,0.0,USD,United States,Oregon,Portland,11 - 20 years,11 - 20 years,College degree,Woman,united states,1.0,110000.0,0.0,110000.0
18-24,Nonprofits,Coordinator,44000.0,1320.0,USD,United States,District of Columbia,Washington DC,1 year or less,1 year or less,College degree,Woman,united states,1.0,44000.0,1320.0,45320.0
35-44,"Accounting, Banking & Finance",Online chat investment advisor,56500.0,6000.0,USD,United States,Rhode Island,"Lincoln, RI ",11 - 20 years,5-7 years,Some college,Woman,united states,1.0,56500.0,6000.0,62500.0
35-44,Retail,Inventory Specialist,34000.0,2500.0,USD,USA,Illinois,Peoria,21 - 30 years,8 - 10 years,Some college,Man,united states,1.0,34000.0,2500.0,36500.0
18-24,Retail,Area sales manager ,49000.0,0.0,USD,United States,Texas,Austin,1 year or less,1 year or less,College degree,Woman,united states,1.0,49000.0,0.0,0.0
18-24,Computing or Tech,Data analyst,110700.0,0.0,USD,United States,Washington,Seattle,2 - 4 years,2 - 4 years,College degree,Woman,united states,1.0,110700.0,0.0,0.0
25-34,Nonprofits,Publications Manager,45000.0,0.0,USD,US,Tennessee,Nashville,5-7 years,5-7 years,Master's degree,Woman,united states,1.0,45000.0,0.0,0.0
25-34,Computing or Tech,Software Engineer,130000.0,0.0,USD,United States,California,Fountain Valley,2 - 4 years,2 - 4 years,College degree,Man,united states,1.0,130000.0,0.0,0.0
35-44,Education (Higher Education),Applications Administrator,74500.0,0.0,USD,USA,Virginia,Williamsburg,21 - 30 years,21 - 30 years,Some college,Man,united states,1.0,74500.0,0.0,74500.0
18-24,Nonprofits,Manager,50000.0,1500.0,USD,United States,District of Columbia,Washington DC,1 year or less,1 year or less,College degree,Woman,united states,1.0,50000.0,1500.0,51500.0
35-44,Computing or Tech,Product Manager,150000.0,100000.0,USD,United States,Washington,Remote (Olympia),11 - 20 years,11 - 20 years,College degree,Man,united states,1.0,150000.0,100000.0,250000.0
25-34,Education (Primary/Secondary),"Director of College Counseling, Academic Advisor, Teacher",72000.0,0.0,USD,United States ,Pennsylvania,Philadelphia ,8 - 10 years,8 - 10 years,Master's degree,Woman,united states,1.0,72000.0,0.0,72000.0
35-44,Entertainment,Director of Social Media,160000.0,40000.0,USD,United States,California,Los Angeles,11 - 20 years,11 - 20 years,College degree,Man,united states,1.0,160000.0,40000.0,200000.0
25-34,"Marketing, Advertising & PR",Vice president ,155000.0,7500.0,USD,United States,New York,New York,8 - 10 years,8 - 10 years,Master's degree,Woman,united states,1.0,155000.0,7500.0,162500.0
35-44,Media & Digital,Sales Support Manager,60000.0,0.0,USD,USA,Utah,Salt Lake City ,11 - 20 years,11 - 20 years,College degree,Woman,united states,1.0,60000.0,0.0,0.0
18-24,Retail,Area sales manager ,49000.0,0.0,USD,United States,Texas,Austin,1 year or less,1 year or less,College degree,Woman,united states,1.0,49000.0,0.0,0.0
25-34,Law,Associate Attorney,120000.0,0.0,USD,USA,New York,NYC,1 year or less,1 year or less,"Professional degree (MD, JD, etc.)",Woman,united states,1.0,120000.0,0.0,0.0
25-34,"Accounting, Banking & Finance",accountant ,48000.0,0.0,USD,United States ,Massachusetts,Lowell,5-7 years,2 - 4 years,College degree,Woman,united states,1.0,48000.0,0.0,0.0
35-44,Engineering or Manufacturing,Audio Systems Engineer,165000.0,16500.0,USD,United States,Massachusetts,Framingham,11 - 20 years,11 - 20 years,Master's degree,Man,united states,1.0,165000.0,16500.0,181500.0
25-34,Nonprofits,Senior program officer ,62500.0,0.0,USD,United States,District of Columbia,Washington ,5-7 years,2 - 4 years,Master's degree,Woman,united states,1.0,62500.0,0.0,62500.0
25-34,Nonprofits,Manager of Institutional Funding,81000.0,0.0,USD,US,New York,New York,8 - 10 years,2 - 4 years,College degree,Woman,united states,1.0,81000.0,0.0,81000.0
18-24,Computing or Tech,Full Stack Engineer,85000.0,0.0,USD,USA,Massachusetts,Boston,1 year or less,1 year or less,College degree,Man,united states,1.0,85000.0,0.0,85000.0
25-34,Computing or Tech,Project Manager,85000.0,12000.0,USD,US,Colorado,Denver,5-7 years,2 - 4 years,Master's degree,Woman,united states,1.0,85000.0,12000.0,97000.0
35-44,Nonprofits,Director,100000.0,6000.0,USD,Uganda,,Kampala,11 - 20 years,5-7 years,Master's degree,Woman,uae,1.0,100000.0,6000.0,106000.0
35-44,Education (Higher Education),Research Assistant,78000.0,0.0,AUD,Australia,,"Sydney, NSW, Australia",5-7 years,5-7 years,PhD,Woman,australia,0.671307,52361.945999999996,0.0,0.0
55-64,Health care,Director of Operations,115000.0,20000.0,USD,US,Oregon,Portland,41 years or more,11 - 20 years,College degree,Man,united states,1.0,115000.0,20000.0,135000.0
45-54,Government and Public Administration,Audit Manager ,102000.0,0.0,USD,U.S,New Mexico,Albuquerque ,21 - 30 years,21 - 30 years,College degree,Woman,united states,1.0,102000.0,0.0,102000.0
35-44,Property or Construction,"Director, Project Management Office",120000.0,20000.0,CAD,Canada,,Toronto,21 - 30 years,21 - 30 years,College degree,Woman,canada,0.750496,90059.52,15009.920000000002,105069.44
25-34,Computing or Tech,Business Analyst,65000.0,5400.0,USD,United States,Missouri,St. Louis,2 - 4 years,2 - 4 years,College degree,Woman,united states,1.0,65000.0,5400.0,70400.0
35-44,Retail,Team Leader ,46467.0,1200.0,USD,United States ,New Mexico,Albuquerque ,21 - 30 years,21 - 30 years,College degree,Woman,united states,1.0,46467.0,1200.0,47667.0
25-34,Nonprofits,Senior Director ,160000.0,0.0,USD,United States ,District of Columbia,Washington,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,united states,1.0,160000.0,0.0,0.0
35-44,Computing or Tech,Senior Software Engineer,145000.0,10000.0,USD,United States,New York,New York,11 - 20 years,11 - 20 years,Master's degree,Man,united states,1.0,145000.0,10000.0,155000.0
18-24,Computing or Tech,Operations Associate,90000.0,5000.0,USD,United States,California,San Francisco,2 - 4 years,2 - 4 years,College degree,Woman,united states,1.0,90000.0,5000.0,95000.0
